pl_name,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,st_lum,st_age,sy_dist,discoverymethod,disc_year_y,disc_facility,habitability_percent,cluster,cluster_label
Kepler-43 b,1,1,0,3.024092548,0.044,12.234,996.3781,996.3781,2.655,0,1120.06,1499.305,85.97,0.79184,2.73608,6041,1.359,1.229,0.33,0.33734,2.7,1005.84,Transit,2011,Kepler,26.48,0,Warm Gas Giants
Kepler-460 c,1,2,0,220.1303357,0.721,6.1,,,,0,5.4,389,89.95,0.18901,21.445,6243,1.393,1.0655,-0.2405,0.64137,4.085,1274.01,Transit,2016,Kepler,26.48,,
Kepler-188 c,1,2,0,5.996534997,0.0644,3.08,,,,0,299.535,1094,87.09,0.07296,3.2752,5716.5,1.07722,0.9995,-0.07,0.03447,4.37,968.544,Transit,2014,Kepler,26.47,,
Kepler-215 d,1,4,0,30.86437869,0.1798,2.4115,23.6,23.6,,0,26.83,600,89.38,0.055605,2.7942,5697.97,0.905,0.92,-0.38,-0.1172,6.4,485.997,Transit,2014,Kepler,26.47,2,Temperate Small Planets
TOI-1691 b,1,1,0,16.7368995,0.1276825,3.56505068,14.6,14.6,1.76,0,69.75845,768.745,,0.0989,4.9709033,5759,1,0.99405,0.052,-0.03058,6.6,111.445,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),26.47,2,Temperate Small Planets
Kepler-1403 b,1,1,0,5.194924745,0.0642,2.24,,,,0,578.43,1251,89.38,0.03212,3.148,6415,1.241,1.2215,0.21,0.37208,1.805,2163.9,Transit,2016,Kepler,26.46,,
Kepler-167 c,2,4,0,7.40610775,0.0683,1.604,,,,0,61.175,755,87.66,0.04187,2.888,4876,0.746,0.7765,0.07,-0.55179,4.57,341.908,Transit,2014,Kepler,26.46,,
Kepler-1785 b,1,1,0,19.58557219,0.1382,3.72,,,,0,47.07,668,87.66,0.05759,1.86135,5734,0.996,0.916,-0.19,0.00308,3.77,745.74,Transit,2021,Kepler,26.46,,
Kepler-194 c,1,3,0,17.30797625,0.1294,2.6,,,,0,74.01,748,89.38,0.06608,5.0227,5848,1.0325,1.0045,-0.165,0.0427,3.55,1097.97,Transit,2014,Kepler,26.46,,
Kepler-416 b,1,3,0,6.31942727,0.0669,2.62,58.2,58.2,,0,259.5045,1057,89.95,0.059215,3.2023,5718,1.075,1,0.065,0.02791,3.795,690.819,Transit Timing Variations,2014,Kepler,26.46,2,Temperate Small Planets
Kepler-416 c,1,3,0,12.20945351,0.1038,2.54,,,,0,107.791,848,89.38,0.055155,3.9286,5718,1.075,1,0.065,0.02791,3.795,690.819,Transit Timing Variations,2014,Kepler,26.46,,
Kepler-638 b,1,1,0,6.07972452,0.06235,3.18,,,,0,524.78,1221,75.06,0.02899,7.3431,5382,1.593,0.9085,-0.247,0.53162,11.75,991.214,Transit,2016,Kepler,26.46,,
Kepler-1456 b,1,1,0,18.1373829,0.1132,1.14,,,,0,8.31,433,89.38,0.03827,3.55,4255,0.602,0.589,-0.3,-0.957,3.72,370.312,Transit,2016,Kepler,26.45,,
Kepler-1668 b,1,1,0,15.43398875,0.124,4.408822025,,,,0,63.79,721,88.24,0.19214,4.2587,5772.5,0.951,1.0425,0.07,-0.05567,,1335.64,Transit,2020,Kepler,26.45,,
Kepler-1868 b,1,1,0,211.0338741,0.6108,3.69,,,,0,0.48,212,89.38,0.205155,7.096,4628,0.686,0.717,-0.076,-0.66249,9.185,274.18,Transit,2021,Kepler,26.45,,
Kepler-288 c,1,3,0,19.30577159,0.1375,3.03,,,,0,66.23,728,89.95,0.07759,4.2752,5698,1.0805,1.01,-0.22,0.05605,8.01,1194.15,Transit,2014,Kepler,26.45,,
Kepler-288 d,1,3,0,56.63868914,0.2818,3.53,,,,0,15.77,508,87.09,0.0671,7.1075,5698,1.07,1.01,-0.22,0.05605,8.01,1194.15,Transit,2014,Kepler,26.45,,
Kepler-418 b,1,2,0,86.67855186,0.389,9.936,349.6121239,349.6121239,,0,9.1235,446,89.95,0.87726,10.1386,5895,1.08957,1.06,-0.055,0.11114,3.61,1002.53,Transit,2014,Kepler,26.45,2,Temperate Small Planets
Kepler-418 c,1,2,0,12.218278,0.1054,4.903,,,,0,127.59,857,88.81,0.19489,2.63465,5895,1.077,1.039,-0.1,0.11114,2.425,1002.53,Transit,2021,Kepler,26.45,,
Kepler-690 b,1,1,0,7.748094374,0.0802,5.56,,,,0,198.7,958,88.81,0.26141,3.5631,5915.5,1.1125,1.11,0.32,0.14056,3.525,1665.31,Transit,2016,Kepler,26.45,,
Kepler-1570 b,1,1,0,26.548955,0.1784,2.54,,,,0,115.61,836,89.95,0.01466,7.979,5456,1.7885,0.99,-0.24,0.41425,8.675,918.995,Transit,2016,Kepler,26.44,,
Kepler-106 e,1,4,0,43.84444353,0.2395,2.6005,11.17,8.88031256,2.558433,0,19.88,538,89.38,0.060665,6.4175,5881,1.043,0.9795,-0.115,0.08255,5.015,444.322,Transit,2014,Kepler,26.43,2,Temperate Small Planets
Kepler-1360 b,1,1,0,40.5286413,0.248,2.6,,,,0,29.98,597,89.95,0.036055,10.526,6440.5,1.9635,1.41,0.1385,0.92337,0.925,1516.27,Transit,2016,Kepler,26.43,,
Kepler-842 b,1,1,0,1.21956827,0.0204,1.58,,,,0,604.11,1264,88.24,0.05169,1.5672,4837,0.714,0.765,-0.04,-0.61238,2.685,532.726,Transit,2016,Kepler,26.43,,
TrES-2 b,2,1,0,2.470613385,0.03558,13.708607,382.03166,382.03166,0.884,0,772.22,1455,83.89,1.4284,1.74319,5850,1.002,0.983,-0.125,0.03841,5,215.32,Transit,2006,TrES,26.43,0,Warm Gas Giants
HD 21520 b,1,1,0,25.1292,0.1726,2.697,17.7,17.7,1.35,0,,637,89.23,,4.885,5871,1.044,1.09,0.049,0.06595,5.3,79.208,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),26.42,,
Kepler-1094 b,1,1,0,78.0998908,0.3653,2.8,,,,0,9.48,447,89.38,0.06887,8.322,5945.5,1.1875,1.065,-0.14,0.17811,1.695,1291.01,Transit,2016,Kepler,26.42,,
