pl_name,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,st_lum,st_age,sy_dist,discoverymethod,disc_year_y,disc_facility,habitability_percent,cluster,cluster_label
11 Com b,2,1,0,324.62,1.21,,,5434.7,,0.2345,,,,,,4808,16.38,2.6,-0.305,2.110615,,93.1846,Radial Velocity,2007,Xinglong Station,Not enough data,,
11 UMi b,1,1,0,516.219985,1.53,,,3432.4,,0.08,,,,,,4276.5,26.935,1.8,0.01,,1.56,125.321,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,Not enough data,,
14 And b,1,1,0,186.3,0.775,,,1131.151301,,0,,,,,,4850.5,11.275,1.78,-0.225,1.80146,,75.4392,Radial Velocity,2008,Okayama Astrophysical Observatory,Not enough data,,
14 Her b,1,2,0,1766.41,2.81,,2559.472162,1523.958887,,0.3682,,,144.652,,,5297.47,0.995819,0.91,0.4052,-0.151365,3.9,17.9323,Radial Velocity,2002,W. M. Keck Observatory,Not enough data,,
16 Cyg B b,3,1,0,799.475,1.678,,,533.9422,,0.6821,,,,,,5747,1.13,1,0.06,0.09729,,21.1397,Radial Velocity,1996,Multiple Observatories,Not enough data,,
17 Sco b,1,1,0,578.38,1.45,,,1373.018718,,0.06,,,,,,4157,25.92,1.22,-0.01,2.25435,5.13,124.953,Radial Velocity,2020,Lick Observatory,Not enough data,,
18 Del b,2,1,0,988.075,2.54,,,3127.3,,0.052,,,,,,4979.5,8.65,2.1,-0.056,1.617835,,76.222,Radial Velocity,2008,Okayama Astrophysical Observatory,Not enough data,,
24 Boo b,1,1,0,30.3403,0.192,,,284.9338917,,0.037,,,,,,4854.5,11.415,1.02,-0.775,1.82553,6.92,95.9863,Radial Velocity,2018,Okayama Astrophysical Observatory,Not enough data,,
24 Sex b,1,2,0,452.8,1.333,,,632.46,,0.09,,,,,,5098,4.9,1.54,-0.03,1.164,2.7,72.0691,Radial Velocity,2010,Lick Observatory,Not enough data,,
24 Sex c,1,2,0,883,2.08,,,273.32,,0.29,,,,,,5098,4.9,1.54,-0.03,1.164,2.7,72.0691,Radial Velocity,2010,Lick Observatory,Not enough data,,
2M0437 b,1,1,0,,118,,1271.313628,1271.313628,,,,1450,,,,3100,0.84,0.17,0.01,-1.16368,0.0025,128.484,Imaging,2021,Subaru Telescope,Not enough data,,
2MASS J01033563-5515561 AB b,2,1,0,,84,,4131.79,4131.79,,,,,,,,,,0.19,,,0.03,,Imaging,2013,Paranal Observatory,Not enough data,,
2MASS J02192210-3925225 b,1,1,0,,156,16.14096,4417.837,4417.837,,,,,,,,3064,0.281,0.108,,-2.23,0.035,,Imaging,2015,Cerro Tololo Inter-American Observatory,Not enough data,,
2MASS J0249-0557 c,2,1,0,,1950,,3686.809521,3686.809521,,,,,,,,,,0.046,,-2.59,0.022,66.0613,Imaging,2018,Mauna Kea Observatory,Not enough data,,
2MASS J03590986+2009361 b,1,1,0,,572,,5720.911326,5720.911326,,,,2369,,,,,,,,,,117.435,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Not enough data,,
2MASS J04414489+2301513 b,1,1,0,,15,,2383.6,2383.6,,,,,,,,,,0.019,,,0.001,,Imaging,2010,Hubble Space Telescope,Not enough data,,
2MASS J11011926-7732383 b,1,1,0,,266,,8899.195396,8899.195396,,,,2677,,,,,,,,,,,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Not enough data,,
2MASS J11550485-7919108 b,1,1,0,,587,,6356.56814,6356.56814,,,,2506,,,,,,,,,,100.862,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Not enough data,,
2MASS J12073346-3932539 b,1,1,0,,50.5,,1430.075,1430.075,,,,1200,,,,2825,0.21887,0.1060005,,-2.56086,0.008,64.308,Imaging,2004,Paranal Observatory,Not enough data,,
2MASS J19383260+4603591 b,2,3,0,411,0.92,,603.877,597.5189185,,0.33,,,,,,29564,0.203,0.48,,,,396.332,Eclipse Timing Variations,2015,Kepler,Not enough data,,
2MASS J21252752-8138278 b,1,1,0,,7493,,3813.940884,3813.940884,,,,1616,,,,,,,,,,34.1154,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Not enough data,,
2MASS J22362452+4751425 b,1,1,0,,230,,3972.875,3972.875,,,,,,,,4045,,0.6,,,0.12,69.5737,Imaging,2016,W. M. Keck Observatory,Not enough data,,
30 Ari B b,4,1,0,335.10001,0.995,,,3140.03,,0.289,,,,,,6315.5,1.13,1.16,0.2175,,0.91,44.657,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,Not enough data,,
4 UMa b,1,1,0,269.785,0.8735,,,2383.990036,,0.4425,,,,,,4415,18.11,1.234,-0.25,,4.604,73.4603,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,Not enough data,,
47 UMa b,1,3,0,1078,2.1,,,804.08,,0.032,,,,,,5872,1.1749385,1.06,0.04,0.1978,,13.7967,Radial Velocity,1996,Lick Observatory,Not enough data,,
47 UMa c,1,3,0,2391,3.6,,,171.621,,0.098,,,,,,5850.58,1.1749385,1.032596,0.0328,0.1978,,13.7967,Radial Velocity,2001,Lick Observatory,Not enough data,,
47 UMa d,1,3,0,16501,12.7,,,500.5704473,,0.27,,,,,,5850.58,1.1749385,1.032596,0.0328,0.1978,,13.7967,Radial Velocity,2009,Lick Observatory,Not enough data,,
51 Peg b,1,1,0,4.230785,0.052175,,146.2018,148.738,,0,,,80,,,5760.76,1.186744,1.04,0.2,0.13631,10,15.4614,Radial Velocity,1995,Haute-Provence Observatory,Not enough data,,
55 Cnc c,2,5,0,44.37935,0.239,,55.58615,54.0298288,,0.0615,,,89.865,,,5250,0.963515,0.9025,0.35,-0.19695,,12.5855,Radial Velocity,2004,McDonald Observatory,Not enough data,,
55 Cnc d,2,5,0,4888,5.5215,,1229.6315,1219.6235,,0.0965,,,89.865,,,5250,0.963515,0.905,0.35,-0.19695,5.5,12.5855,Radial Velocity,2002,Lick Observatory,Not enough data,,
55 Cnc f,2,5,0,260.91,0.775,,45.90855,46.87969003,,0.142,,,89.865,,,5250,0.963515,0.9,0.35,-0.19695,,12.5855,Radial Velocity,2007,Multiple Observatories,Not enough data,,
6 Lyn b,1,1,0,909.43,2.145,,,670.6213,,0.099,,,,,,4941,5.2,1.57,-0.15,1.1473,,54.6599,Radial Velocity,2008,Okayama Astrophysical Observatory,Not enough data,,
61 Vir b,1,3,0,4.214935,0.0498805,,,5.108518675,,0.1095,,,,,,5581.285,0.997755,0.928036,0.00875,-0.095,8.96,8.50332,Radial Velocity,2009,Multiple Observatories,Not enough data,,
61 Vir c,1,3,0,38.05835,0.2163,,,17.15695012,,0.104,,,,,,5581.285,0.997755,0.928036,0.00875,-0.095,8.96,8.50332,Radial Velocity,2009,Multiple Observatories,Not enough data,,
61 Vir d,1,3,0,123.01,0.476,,,22.9,,0.35,,,,,,5577,0.963,0.942,-0.01,-0.095,8.96,8.50332,Radial Velocity,2009,Multiple Observatories,Not enough data,,
7 CMa b,1,2,0,763,1.85,,,699.1809,,0.14,,,90,,,4794.52,4.889215,1.439,0.21,1.06258,4.3,19.8101,Radial Velocity,2011,Anglo-Australian Telescope,Not enough data,,
7 CMa c,1,2,0,996,2.179,,,283.20605,,0.08,,,90,,,4826,5.034,1.3895,0.21,1.09179,4.3,19.8101,Radial Velocity,2019,Multiple Observatories,Not enough data,,
70 Vir b,1,1,0,116.6887,0.4805,,2380.45,2354.48464,,0.39895,,,,,,5495,1.9059715,1.09,-0.0501,0.4513,7.885,17.9011,Radial Velocity,1996,Lick Observatory,Not enough data,,
75 Cet b,2,2,0,694.26,2.006,,,870.6933105,,0.105,,,,,,4827.5,10.44,2.205,0.05,1.72225,,82.9613,Radial Velocity,2012,Okayama Astrophysical Observatory,Not enough data,,
75 Cet c,2,2,0,2051.62,3.929,,,289.8595072,,0.023,,,,,,4809,10.38,1.92,0.1,1.7145,,82.9613,Radial Velocity,2023,Okayama Astrophysical Observatory,Not enough data,,
8 UMi b,1,1,0,93.4,0.49,,,446.55115,,0.06,,,,,,4847.2,10.1,1.62,-0.03,,1.7,162.552,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,Not enough data,,
81 Cet b,1,1,0,979.135,2.17,,,1274.4,,0.1215,,,,,,4759.5,11.105,1.6,-0.085,1.769135,,101.26,Radial Velocity,2008,Okayama Astrophysical Observatory,Not enough data,,
91 Aqr b,3,1,0,181.4,0.7,,,1017,,0.027,,,,,,4665,11,1.4,-0.03,,3.56,44.0304,Radial Velocity,2013,Lick Observatory,Not enough data,,
AB Aur b,1,1,0,,93.9,,2860.455663,2860.455663,,0.4,,,42.6,,,9770,,2.4,,1.77085,0.003,162.127,Imaging,2022,Subaru Telescope,Not enough data,,
AB Pic b,1,1,0,,260,,4290.5,4290.5,,,,,,,,,,,,,0.03,50.0475,Imaging,2005,Paranal Observatory,Not enough data,,
AF Lep b,1,1,0,8030,8.4,,1366.66215,1366.66215,,0.32,,1400,82,,,6130,1.25,1.2,0.19,,0.024,26.8564,Imaging,2023,Paranal Observatory,Not enough data,,
AT2021ueyL b,1,1,0,4168.69,4.01,,425.8900654,425.8900654,,,,,,,,3680,,0.49,,,,1040,Microlensing,2025,Multiple Observatories,Not enough data,,
AU Mic d,1,3,0,12.73596,,,1.053,1.053,,0.00305,,,89.31812,,,3678,0.744,0.51,0.23,-1.0381,0.0201,9.7221,Transit Timing Variations,2023,Multiple Observatories,Not enough data,,
BD+03 2562 b,1,1,0,481.9,1.3,,,2034.112,,0.2,,,,,,4095,32.35,1.14,-0.71,2.7,5.2,1070.63,Radial Velocity,2017,Multiple Observatories,Not enough data,,
BD+05 4868 A b,2,1,0,1.271869,0.0208,,6.2,6.2,,,,1820,,1.4,,4596,0.69,0.7,-0.05,-0.7167,11.1,43.5687,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Not enough data,,
BD+14 4559 b,1,1,0,268.94,0.7785,,,398.8666,,0.29,,,,,,4936,0.905,0.675,0.135,-0.32,,49.352,Radial Velocity,2009,McDonald Observatory,Not enough data,,
BD+15 2375 b,1,1,0,153.22,0.576,,,337.21763,,0.001,,,,,,4649,8.95,1.08,-0.22,1.57,7.41,768.045,Radial Velocity,2016,Roque de los Muchachos Observatory,Not enough data,,
BD+15 2940 b,1,1,0,137.48,0.539,,,352.78,,0.26,,,,,,4796,14.7,1.1,0.28,2.01,7.1,426.42,Radial Velocity,2013,McDonald Observatory,Not enough data,,
BD+20 2457 b,1,2,0,379.63,1.25,,,12237.89985,,0.15,,,,,,4198,60.01,6.815,-0.895,3.17,,1539.71,Radial Velocity,2009,McDonald Observatory,Not enough data,,
BD+20 2457 c,1,2,0,621.99,2.01,,,3963.17,,0.18,,,,,,4137,49,2.8,-1,3.17,,1539.71,Radial Velocity,2009,McDonald Observatory,Not enough data,,
BD+20 274 b,1,1,0,578.2,1.3,,,1334.886,,0.21,,,,,,4296,17.3,0.8,-0.46,1.96,,1322.51,Radial Velocity,2012,McDonald Observatory,Not enough data,,
BD+45 564 b,1,1,0,307.88,0.83,,,432.2466335,,0.12,,,2.579,,,5004,,0.81,-0.09,,,53.622,Radial Velocity,2021,Haute-Provence Observatory,Not enough data,,
BD+48 738 b,1,1,0,392.6,1,,,289.2253,,0.2,,,,,,4414,11,0.74,-0.2,1.69,,871.493,Radial Velocity,2011,McDonald Observatory,Not enough data,,
BD+48 740 b,1,1,0,733,1.7,,,540.311,,0.76,,,,,,4534,10.33,1.09,-0.13,1.64,,666.589,Radial Velocity,2018,Multiple Observatories,Not enough data,,
BD+49 828 b,1,1,0,2590,4.2,,,508.5,,0.35,,,,,,4943,7.6,1.52,-0.19,1.47,2.34,442.042,Radial Velocity,2015,McDonald Observatory,Not enough data,,
BD+55 362 b,1,1,0,265.59,0.78,,,228.836453,,0.27,,,0.6012,,,5012,,0.909,0.18,,,52.5697,Radial Velocity,2021,Haute-Provence Observatory,Not enough data,,
BD+63 1405 b,1,1,0,1214.24,2.0875,,3305.415433,2282.007962,,0.8855,,,14.737,,,5000,,0.816,-0.09,,,38.0473,Radial Velocity,2021,Haute-Provence Observatory,Not enough data,,
BD-06 1339 b,1,2,0,3.8728,0.0428,,,8.5,,0,,,,,,4324,,0.7,-0.14,-1.022,4.4,20.2695,Radial Velocity,2013,La Silla Observatory,Not enough data,,
BD-06 1339 c,1,2,0,125.94,0.435,,,53,,0.31,,,,,,4324,,0.7,-0.14,-1.022,4.4,20.2695,Radial Velocity,2013,La Silla Observatory,Not enough data,,
BD-08 2823 b,1,2,0,5.6,0.058,,,13.5566,,0.15,,,,,,4781,0.71,0.62,-0.065,,4.5,41.3342,Radial Velocity,2009,La Silla Observatory,Not enough data,,
BD-08 2823 c,1,2,0,237.6,0.68,,,104,,0.19,,,,,,4746,,0.74,-0.07,,4.5,41.3342,Radial Velocity,2009,La Silla Observatory,Not enough data,,
BD-10 3166 b,1,1,0,3.48777,0.0451,,,149.055,,0.021,,,,,,5393,0.9398725,1.055,0.381,,,84.4069,Radial Velocity,2000,W. M. Keck Observatory,Not enough data,,
BD-11 4672 b,1,2,0,1650.5,2.32,,,187.51475,,0.05,,,,,,4512.5,0.5795,0.611,-0.415,-0.8041,5.9,27.1665,Radial Velocity,2014,La Silla Observatory,Not enough data,,
BD-11 4672 c,1,2,0,74.2,0.3,,,15.37,,0.4,,,,,,4550,0.639,0.651,-0.35,-0.8041,7.4,27.1665,Radial Velocity,2020,Roque de los Muchachos Observatory,Not enough data,,
BD-13 2130 b,1,1,0,714.299995,1.88,,,3238.6877,,0.21,,,,,,4545,19.17,2.26,-0.08,,0.74,925.214,Radial Velocity,2007,La Silla Observatory,Not enough data,,
BD-17 63 b,1,1,0,655.58499,1.34,,1503.328365,1493.781075,,0.54,,,80,,,4689.5,0.715,0.74,-0.01,-0.678,4.3,34.4603,Radial Velocity,2008,La Silla Observatory,Not enough data,,
BD-210397 b,1,2,0,1891,2.63,,,214,,0.1,0.02,,,,,4051,0.747,0.679,0.12,-0.86967,6.2,23.7324,Radial Velocity,2023,La Silla Observatory,Not enough data,,
Barnard c,1,4,0,4.1244,0.0274,,,0.335,,0.08,,400,,,,3195,0.185,0.162,-0.56,-2.44977,,1.82655,Radial Velocity,2025,Gemini Observatory,Not enough data,,
Barnard d,1,4,0,2.3402,0.0188,,,0.263,,0.04,,483,,,,3195,0.185,0.162,-0.56,-2.44977,,1.82655,Radial Velocity,2025,Gemini Observatory,Not enough data,,
Barnard e,1,4,0,6.7392,0.0381,,,0.193,,0.04,,340,,,,3195,0.185,0.162,-0.56,-2.44977,,1.82655,Radial Velocity,2025,Gemini Observatory,Not enough data,,
CD Cet b,1,1,0,2.2907,0.0185,,,3.95,,,8.6,464,87.48,,,3130,0.175,0.161,0.13,-2.53254,3,8.60715,Radial Velocity,2020,Calar Alto Observatory,Not enough data,,
CFBDSIR J145829+101343 b,1,1,0,10037.5,2.6,,3337.1,3337.1,,,,370,,,,580.5,,0.021,,,,,Imaging,2011,W. M. Keck Observatory,Not enough data,,
CHXR 73 b,1,1,0,,210,,3994.486,3994.486,,,,,,,,,,0.35,,,0.002,190.374,Imaging,2006,Hubble Space Telescope,Not enough data,,
CI Tau c,1,1,0,25.2,0.17,,,1144.182265,,0.58,,,,,,,,,,,,157.998,Radial Velocity,2024,Multiple Observatories,Not enough data,,
CT Cha b,1,1,0,,440,24.66,5403,5403,,,,2600,,,,,,,,,0.002,190.72,Imaging,2007,Paranal Observatory,Not enough data,,
CoRoT-16 b,1,1,0,5.35227,0.0618,13.112265,169.082035,169.082035,0.425,0.35,,,85.01,1.02,2.39,5650,1.19,1.098,0.19,,6.715,732.409,Transit,2011,CoRoT,Not enough data,,
CoRoT-20 c,1,2,0,1675,2.9,,,5403.11,,0.6,,,,,,,,1.14,,,,844.061,Radial Velocity,2018,Multiple Observatories,Not enough data,,
CoRoT-21 b,1,1,0,2.72474,0.04165,14.5717,711.9392,711.9392,1.3,0.195,,,86.8,,4.76,6200,1.95,1.29,0,,4.1,,Transit,2012,CoRoT,Not enough data,,
CoRoT-28 b,1,1,0,5.20851,0.05965,10.704595,153.352975,153.352975,0.685,0.059,,,88.1,,5.7,5150,1.78,1.01,0.15,,12,766.183,Transit,2015,CoRoT,Not enough data,,
CoRoT-30 b,1,1,0,9.06005,0.0844,11.309881,921.707,921.707,3.45,0.007,,,90,,,5650,0.91,0.98,0.02,,3,1032.23,Transit,2020,CoRoT,Not enough data,,
CoRoT-31 b,1,1,0,4.62941,0.0586,16.36514,266.9772,266.9772,0.33,0.02,,,83.2,,,5700,2.15,1.25,0,,4.7,2005.76,Transit,2020,CoRoT,Not enough data,,
CoRoT-7 c,1,3,0,3.698,0.0455,,13.289,13.289,,0.06,,,80,,,5256,0.864273,0.899,0.06,-0.28938,1.8,159.906,Radial Velocity,2009,CoRoT,Not enough data,,
CoRoT-7 d,1,3,0,8.966,,,17.142,17.142,,,,,,,,5250,,0.915,,,1.8,159.906,Radial Velocity,2022,La Silla Observatory,Not enough data,,
DE CVn b,2,1,0,4098.1,5.75,,,3823.273302,,0,,,86,,,,,0.51,,,,30.5225,Eclipse Timing Variations,2018,Multiple Facilities,Not enough data,,
DENIS-P J082303.1-491201 b,1,1,0,246.36,0.36,,9057.77,9057.77,,0.345,,,56.6,,,,,0.075,,,1,,Astrometry,2013,Paranal Observatory,Not enough data,,
DMPP-1 b,1,4,0,18.57,0.1462,,,24.27,,0.083,,877,,,,6196,1.26,1.21,,,2.01,62.5388,Radial Velocity,2019,La Silla Observatory,Not enough data,,
DMPP-1 c,1,4,0,6.584,0.0733,,,9.6,,0.057,,1239,,,,6196,1.26,1.21,,,2.01,62.5388,Radial Velocity,2019,La Silla Observatory,Not enough data,,
DMPP-1 d,1,4,0,2.882,0.0422,,,3.35,,0.07,,1632,,,,6196,1.26,1.21,,,2.01,62.5388,Radial Velocity,2019,La Silla Observatory,Not enough data,,
DMPP-1 e,1,4,0,5.516,0.0651,,,4.13,,0.07,,1314,,,,6196,1.26,1.21,,,2.01,62.5388,Radial Velocity,2019,La Silla Observatory,Not enough data,,
DMPP-2 b,1,1,0,5.2072,0.0664,,,138.89171,,0.078,,1000,,,,6500,1.78,1.44,,0.1038,2,137.94,Radial Velocity,2019,Multiple Facilities,Not enough data,,
DMPP-3 A b,2,1,0,6.6734,0.0662,,,2.58,,0.07,,854,,,,5138,0.91,0.87,0.18,,10.9,45.23,Radial Velocity,2019,La Silla Observatory,Not enough data,,
DMPP-4 b,1,1,0,3.4982,0.04853,,,12.2,,0.063,,,,,,6400,1.38,1.25,-0.007,0.45939,2.15,25.3284,Radial Velocity,2023,Multiple Observatories,Not enough data,,
DP Leo b,2,1,0,9456.5,8.395,,1995.88832,1959.33916,,0.39,,,,,,,,0.69,,,,305.684,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,Not enough data,,
EPIC 201170410.02,1,1,0,6.7987,0.0349,1.047,,,,0,,,89.0025,,,3648,0.282,0.287,-0.048,,,,Transit,2020,K2,Not enough data,,
EPIC 201238110 b,1,1,0,28.1676,,2.035,,,,,,,,0.316,3.36,,0.374,0.41,,,,159.259,Transit,2019,K2,Not enough data,,
EPIC 201427007 b,1,1,0,0.72091,,1.5,,,,,,,88.5,,,5633,0.94,,-0.053,,,706.391,Transit,2021,K2,Not enough data,,
EPIC 201497682 b,1,1,0,2.13174,,0.692,,,,,,,,,,,,0.78,,,,253.026,Transit,2019,K2,Not enough data,,
EPIC 201615463 c,1,2,0,3.80464,,1.22,,,,,,,,,,,,1.073,,,,476.882,Transit,2019,K2,Not enough data,,
EPIC 201754305 d,1,3,0,2.71578,,1.03,,,,,,,,,,,,0.67,,,,334.967,Transit,2019,K2,Not enough data,,
EPIC 201757695.02,1,1,0,2.0478,0.0296,0.90819,,,,0,,,89.2757,,,4520,0.655,0.727,-0.003,-0.36351,,,Transit,2020,K2,Not enough data,,
EPIC 201833600 c,1,2,0,3.96158,,1.24,,,,,,,,0.0485,2.16,,0.634,0.611,,,,257.443,Transit,2019,K2,Not enough data,,
EPIC 201841433 b,1,1,0,4.16959,0.035,1.1,,,,,,,89.001,0.0447,2.4,5053,0.6282305,0.802,0,,,436.488,Transit,2019,K2,Not enough data,,
EPIC 205950854 c,1,2,0,8.050722,,1.31,,,,,,960.6,89.81,0.0303,3.72,5502.7,0.867,0.892,,,,243.935,Transit,2019,K2,Not enough data,,
EPIC 206024342 b,1,3,0,4.507365,,1.57,,,,,,,,0.0267,2.184,,0.823,0.928,,,,369.888,Transit,2019,K2,Not enough data,,
EPIC 206024342 c,1,3,0,0.9116567,,1.35,,,,,,,91.7,0.01765,1.553,5686,0.94,,-0.22,,,369.888,Transit,2021,K2,Not enough data,,
EPIC 206024342 d,1,3,0,14.6425205,,2.77,,,,,,,90,0.08485,4.008,5724,1.02,,-0.22,,,369.888,Transit,2021,K2,Not enough data,,
EPIC 206032309 b,1,1,0,2.87814,,1.01,,,,,,,,,,,,0.221,,,,161.365,Transit,2019,K2,Not enough data,,
EPIC 206042996 b,1,2,0,5.29853,,1.7,,,,,,,90.5,0.197,3.144,4114,0.584,0.565,0.006,,,451.769,Transit,2019,K2,Not enough data,,
EPIC 206042996 c,1,2,0,0.35489686,,1.325,,,,,,,89.9,0.0553,1.07,4003.5,0.535,,0.006,,,451.769,Transit,2021,K2,Not enough data,,
EPIC 206215704 b,1,1,0,2.255436,,1,,,,,,,89.9,0.269,0.984,3297,0.3085,0.407,-0.33,,,109.888,Transit,2019,K2,Not enough data,,
EPIC 206317286 b,1,2,0,1.58284,,1.09,,,,,,,,0.03,1.752,,0.669,0.711,,,,314.35,Transit,2019,K2,Not enough data,,
EPIC 206317286 c,1,2,0,17.5125,,2.15,,,,,,,,0.1029,4.043,4750.5,0.73,0.832,0.019,,,314.35,Transit,2022,K2,Not enough data,,
EPIC 212297394 b,1,2,0,2.289363,,1.48,,,,,,1149,,0.0535,1.744,5171,0.7745,0.8295,-0.03,,,418.395,Transit,2019,K2,Not enough data,,
EPIC 212297394 c,1,2,0,5.21378,,2.28,,,,,,866,,0.07685,2.472,5089.5,0.776343,0.8305,-0.03,-0.46654,,418.395,Transit,2021,K2,Not enough data,,
EPIC 212424622 b,1,1,0,18.0977,,2.19,,,,,,,,0.0298,4.32,,1.2247,1.106,,,,611.804,Transit,2019,K2,Not enough data,,
EPIC 212499991 b,1,1,0,34.885,,1.6,,,,,,,,,,,,0.912,,,,283.29,Transit,2019,K2,Not enough data,,
EPIC 212587672 b,1,2,0,15.2841,,1.26,,,,,,756,,0.0187,3.506,6004,0.97785,0.97,-0.18,,,320.07,Transit,2019,K2,Not enough data,,
EPIC 212587672 c,1,2,0,23.2260005,,2.305,,,,,,658,89.42115,0.0506,3.25,6029.5,0.951372,1.13,-0.195,0.03848,,320.07,Transit,2021,K2,Not enough data,,
EPIC 212624936 b,1,2,0,0.578657,,1.2,,,,,,,90.3,,,5765,0.93,,-0.39,,,561.929,Transit,2021,K2,Not enough data,,
EPIC 212624936 c,1,2,0,11.8126535,,2.485,,,,,,,90,0.0722,2.064,5765,0.939,,-0.39,,,561.929,Transit,2021,K2,Not enough data,,
EPIC 212737443 c,1,2,0,65.55,0.28,2.69,,,,0.2,,316,89.63,0.11,4.608,4684,0.673,0.69,-0.137,,,336.25,Transit,2019,K2,Not enough data,,
EPIC 220492298 b,1,1,0,0.762406,,0.99,,,,,,,92.6,,,5620,0.89,,0.28,,,624.512,Transit,2021,K2,Not enough data,,
EPIC 220554210 c,1,2,0,0.70531,,1.6,,,,,,,91.3,0.0262,1.704,5499,1.0065,0.94,-0.23,,,496.289,Transit,2019,K2,Not enough data,,
EPIC 228836835 b,1,1,0,0.7281215,,1.185,,,,,,932,89.7,0.068,0.7992,3644,0.3719505,0.418179,-0.18,-1.61153,,150.124,Transit,2021,K2,Not enough data,,
FU Tau b,1,1,0,,763,,5562.009867,5562.009867,,,,2467,,,,2838,,0.05,,-0.69897,0.001,,Imaging,2008,Spitzer Space Telescope,Not enough data,,
G 192-15 b,1,2,0,2.27476,0.01723,,,1.03,,0,7.06,453.6,,,,,,0.132,,,,9.53114,Radial Velocity,2025,Calar Alto Observatory,Not enough data,,
G 192-15 c,1,2,0,1219,1.137,,,14.3,,0.676,0.0016,55.9,,,,,,0.132,,,,9.53114,Radial Velocity,2025,Calar Alto Observatory,Not enough data,,
G 196-3 b,1,1,0,,350,,8263.538582,8263.538582,,,,1670,,,,,,,,,,21.7912,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Not enough data,,
G 261-6 b,1,1,0,5.4536,0.02971,,,1.37,,0,1.8,322.3,,,,,,0.118,,,,10.6267,Radial Velocity,2025,Calar Alto Observatory,Not enough data,,
G 264-012 b,1,2,0,2.30538,0.02279,,,2.5,,,20.5,587,,,,3326,0.305,0.297,0.1,-1.97224,,16.009,Radial Velocity,2021,Calar Alto Observatory,Not enough data,,
G 264-012 c,1,2,0,8.0518,0.0525,,,3.75,,,3.87,387,,,,3326,0.305,0.297,0.1,-1.97224,,16.009,Radial Velocity,2021,Calar Alto Observatory,Not enough data,,
G 268-110 b,1,1,0,1.43263,0.01283,,,1.52,,0,13.57,534,,,,,,0.137,,,,,Radial Velocity,2025,Calar Alto Observatory,Not enough data,,
GJ 1002 b,1,2,0,10.3465,0.0457,,,1.08,,,0.67,230.9,,,,3024,0.137,0.12,-0.25,-2.85201,,4.84867,Radial Velocity,2022,Multiple Observatories,Not enough data,,
GJ 1002 c,1,2,0,21.202,0.0738,,,1.36,,,0.257,181.7,,,,3024,0.137,0.12,-0.25,-2.85201,,4.84867,Radial Velocity,2022,Multiple Observatories,Not enough data,,
GJ 1061 b,1,3,0,3.204,0.021,,,1.37,,0.31,3.8,,,,,2953,0.156,0.12,-0.08,-2.76955,7,3.67278,Radial Velocity,2020,La Silla Observatory,Not enough data,,
GJ 1061 c,1,3,0,6.689,0.035,,,1.74,,0.29,1.4,,,,,2953,0.156,0.12,-0.08,-2.76955,7,3.67278,Radial Velocity,2020,La Silla Observatory,Not enough data,,
GJ 1061 d,1,3,0,13.031,0.054,,,1.64,,0.53,0.6,,,,,2953,0.156,0.12,-0.08,-2.76955,7,3.67278,Radial Velocity,2020,La Silla Observatory,Not enough data,,
GJ 1132 c,1,2,0,8.929,0.0476,,,2.64,,0.27,,300,,,,3270,0.2105,0.181,,-2.35853,,12.613,Radial Velocity,2018,La Silla Observatory,Not enough data,,
GJ 1148 b,1,2,0,41.38,0.166,,,96.7,,0.366,,,,,,3287,0.358519,0.344045,0.1596,-1.86908,,11.0143,Radial Velocity,2010,W. M. Keck Observatory,Not enough data,,
GJ 1148 c,1,2,0,534.24,0.9211,,,75.34769291,,0.306,,,,,,3322.285,0.3625795,0.358815,0.1596,-1.86908,,11.0143,Radial Velocity,2017,Calar Alto Observatory,Not enough data,,
GJ 1151 c,1,1,0,389.7,0.5714,,,10.62,,,,,,,,3280,0.1781,0.1639,-0.12,-2.47952,,8.03625,Radial Velocity,2023,Multiple Facilities,Not enough data,,
GJ 1265 b,1,1,0,3.6511,0.026,,,7.4,,0.04,,,,,,3236,0.192,0.178,-0.04,-2.4389,,10.2525,Radial Velocity,2018,Calar Alto Observatory,Not enough data,,
GJ 1289 b,1,1,0,111.74,0.27,,,6.27,,0,,150,,,,3296,,0.21,0.02,,,8.35147,Radial Velocity,2024,Multiple Observatories,Not enough data,,
GJ 15 A b,2,2,0,11.4432,0.072,,,5.35,,0.075,,550,,,,3607,0.38,0.38,-0.34,-1.659,,3.56228,Radial Velocity,2014,W. M. Keck Observatory,Not enough data,,
